,ATTITUDE
0,0
1,1
2,3
3,8
4,16
5,27
6,41
7,59
8,81
9,108
10,139
11,175
12,216
13,262
14,314
15,372
16,436
17,506
18,582
19,664
20,753
21,849
22,952
23,1062
24,1179
25,1304
26,1436
27,1576
28,1724
29,1880
30,2044
31,2216
32,2397
33,2586
34,2784
35,2991
36,3207
37,3432
38,3666
39,3909
40,4161
41,4423
42,4695
43,4976
44,5267
45,5568
46,5879
47,6201
48,6533
49,6876
50,7229
51,7593
52,7967
53,8352
54,8748
55,9155
56,9574
57,10004
58,10445
59,10898
60,11362
61,11838
62,12326
63,12826
64,13338
65,13862
66,14398
67,14946
68,15506
69,16079
70,16664
71,17262
72,17872
73,18495
74,19131
75,19780
76,20442
77,21117
78,21805
79,22507
80,23222
81,23951
82,24693
83,25449
84,26218
85,27001
86,27798
87,28609
88,29434
89,30273
90,31126
91,31994
92,32876
93,33772
94,34683
95,35608
96,36548
97,37503
98,38473
99,39458
100,40458
101,41473
102,42503
103,43548
104,44608
105,45683
106,46774
107,47880
108,49002
109,50139
110,51292
111,52461
112,53646
113,54847
114,56064
115,57297
116,58546
117,59811
118,61092
119,62390
120,63704
121,65035
122,66382
123,67746
124,69126
125,70523
126,71937
127,73368
128,74816
129,76281
130,77763
131,79262
132,80778
133,82311
134,83862
135,85430
136,87016
137,88619
138,90240
139,91878
140,93534
141,95208
142,96900
143,98610
144,100338
145,102084
146,103848
147,105630
148,107430
149,109248
150,111085
151,112940
152,114813
153,116705
154,118616
155,120545
156,122493
157,124460
158,126446
159,128450
160,130473
161,132515
162,134576
163,136657
164,138757
165,140876
166,143014
167,145172
168,147349
169,149546
170,151762
171,153998
172,156253
173,158528
174,160823
175,163138
176,165472
177,167826
178,170200
179,172594
180,175008
181,177443
182,179898
183,182373
184,184868
185,187384
186,189920
187,192477
188,195054
189,197652
190,200270
191,202909
192,205569
193,208250
194,210952
195,213675
196,216419
197,219184
198,221970
199,224777
200,227605
201,230454
202,233324
203,236216
204,239129
205,242064
206,245020
207,247998
208,250997
209,254018
210,257061
211,260125
212,263211
213,266319
214,269449
215,272601
216,275775
217,278971
218,282189
219,285429
220,288692
221,291977
222,295284
223,298614
224,301966
225,305341
226,308738
227,312158
228,315600
229,319065
230,322553
231,326063
232,329596
233,333152
234,336731
235,340333
236,343958
237,347606
238,351277
239,354971
240,358689
241,362430
242,366194
243,369981
244,373792
245,377626
246,381484
247,385365
248,389270
249,393199
250,397151
251,401127
252,405127
253,409151
254,413199
255,417271
256,421367
257,425487
258,429631
259,433799
260,437991
261,442207
262,446447
263,450712
264,455001
265,459314
266,463652
267,468014
268,472401
269,476812
270,481248
271,485709
272,490194
273,494704
274,499239
275,503799
276,508384
277,512994
278,517629
279,522289
280,526974
281,531684
282,536419
283,541179
284,545965
285,550776
286,555612
287,560474
288,565361
289,570274
290,575212
291,580176
292,585165
293,590180
294,595221
295,600287
296,605379
297,610497
298,615641
299,620811
300,626007
301,631229
302,636477
303,641751
304,647051
305,652377
306,657729
307,663108
308,668513
309,673944
310,679402
311,684886
312,690397
313,695934
314,701498
315,707088
316,712705
317,718349
318,724019
319,729716
320,735440
321,741191
322,746969
323,752774
324,758606
325,764465
326,770351
327,776264
328,782204
329,788171
330,794165
331,800187
332,806236
333,812312
334,818416
335,824547
336,830705
337,836891
338,843105
339,849346
340,855615
341,861911
342,868235
343,874587
344,880967
345,887375
346,893810
347,900273
348,906764
349,913283
350,919830
351,926405
352,933009
353,939641
354,946301
355,952989
356,959705
357,966450
358,973223
359,980025
360,986855
361,993714
362,1000601
363,1007517
364,1014461
365,1021434
366,1028435
367,1035465
368,1042524
369,1049612
370,1056729
371,1063874
372,1071048
373,1078251
374,1085483
375,1092744
376,1100034
377,1107354
378,1114703
379,1122081
380,1122081
381,1122081
382,1122081
383,1122081
384,1122081
385,1122081
386,1122081
387,1122081
388,1122081
389,1122081
390,1122081
391,1122081
392,1122081
393,1122081
394,1122081
395,1122081
396,1122081
397,1122081
398,1122081
399,1122081
400,1122081
401,1122081
402,1122081
403,1122081
404,1122081
405,1122081
406,1122081
407,1122081
408,1122081
409,1122081
410,1122081
411,1122081
412,1122081
413,1122081
414,1122081
415,1122081
416,1122081
417,1122081
418,1122081
419,1122081
420,1122081
421,1122081
422,1122081
423,1122081
424,1122081
425,1122081
426,1122081
427,1122081
428,1122081
429,1122081
430,1122081
431,1122081
432,1122081
433,1122081
434,1122081
435,1122081
436,1122081
437,1122081
438,1122081
439,1122081
440,1122081
441,1122081
442,1122081
443,1122081
444,1122081
445,1122081
446,1122081
447,1122081
448,1122081
449,1122081
450,1122081
451,1122081
452,1122081
453,1122081
454,1122081
455,1122081
456,1122081
457,1122081
458,1122081
459,1122081
460,1122081
461,1122081
462,1122081
463,1122081
464,1122081
465,1122081
466,1122081
467,1122081
468,1122081
469,1122081
470,1122081
471,1122081
472,1122081
473,1122081
474,1122081
475,1122081
476,1122081
477,1122081
478,1122081
479,1122081
480,1122081
481,1122081
482,1122081
483,1122081
484,1122081
485,1122081
486,1122081
487,1122081
488,1122081
489,1122081
490,1122081
491,1122081
492,1122081
493,1122081
494,1122081
495,1122081
496,1122081
497,1122081
498,1122081
499,1122081
500,1122081
501,1122081
502,1122081
503,1122081
504,1122081
505,1122081
506,1122081
507,1122081
508,1122081
509,1122081
510,1122081
511,1122081
512,1122081
513,1122081
514,1122081
515,1122081
516,1122081
517,1122081
518,1122081
519,1122081
520,1122081
521,1122081
522,1122081
523,1122081
524,1122081
525,1122081
526,1122081
527,1122081
528,1122081
529,1122081
530,1122081
531,1122081
532,1122081
533,1122081
534,1122081
535,1122081
536,1122081
537,1122081
538,1122081
539,1122081
540,1122081
541,1122081
542,1122081
543,1122081
544,1122081
545,1122081
546,1122081
547,1122081
548,1122081
549,1122081
550,1122081
551,1122081
552,1122081
553,1122081
554,1122081
555,1122081
556,1122081
557,1122081
558,1122081
559,1122081
560,1122081
561,1122081
562,1122081
563,1122081
564,1122081
565,1122081
566,1122081
567,1122081
568,1122081
569,1122081
570,1122081
571,1122081
572,1122081
573,1122081
574,1122081
575,1122081
576,1122081
577,1122081
578,1122081
579,1122081
580,1122081
581,1122081
582,1122081
583,1122081
584,1122081
585,1122081
586,1122081
587,1122081
588,1122081
589,1122081
590,1122081
591,1122081
592,1122081
593,1122081
594,1122081
595,1122081
596,1122081
597,1122081
598,1122081
599,1122081
600,1122081
601,1122081
602,1122081
603,1122081
604,1122081
605,1122081
606,1122081
607,1122081
608,1122081
609,1122081
610,1122081
611,1122081
612,1122081
613,1122081
614,1122081
615,1122081
616,1122081
617,1122081
618,1122081
619,1122081
620,1122081
621,1122081
622,1122081
623,1122081
624,1122081
625,1122081
626,1122081
627,1122081
628,1122081
629,1122081
630,1122081
631,1122081
632,1122081
633,1122081
634,1122081
635,1122081
636,1122081
637,1122081
638,1122081
639,1122081
640,1122081
641,1122081
642,1122081
643,1122081
644,1122081
645,1122081
646,1122081
647,1122081
648,1122081
649,1122081
650,1122081
651,1122081
652,1122081
653,1122081
654,1122081
655,1122081
656,1122081
657,1122081
658,1122081
659,1122081
660,1122080
661,1122078
662,1122074
663,1122067
664,1122057
665,1122044
666,1122028
667,1122008
668,1121984
669,1121956
670,1121924
671,1121888
672,1121847
673,1121802
674,1121752
675,1121697
676,1121637
677,1121571
678,1121500
679,1121423
680,1121341
681,1121253
682,1121159
683,1121059
684,1120953
685,1120841
686,1120723
687,1120598
688,1120467
689,1120329
690,1120184
691,1120032
692,1119873
693,1119707
694,1119534
695,1119354
696,1119167
697,1118972
698,1118770
699,1118560
700,1118342
701,1118117
702,1117884
703,1117643
704,1117394
705,1117137
706,1116872
707,1116598
708,1116316
709,1116026
710,1115727
711,1115420
712,1115104
713,1114779
714,1114446
715,1114104
716,1113753
717,1113393
718,1113024
719,1112646
720,1112259
721,1111862
722,1111456
723,1111041
724,1110616
725,1110182
726,1109738
727,1109284
728,1108821
729,1108348
730,1107865
731,1107372
732,1106869
733,1106356
734,1105833
735,1105300
736,1104757
737,1104203
738,1103639
739,1103065
740,1102480
741,1101885
742,1101279
743,1100663
744,1100036
745,1099398
746,1098749
747,1098090
748,1097420
749,1096739
750,1096047
751,1095344
752,1094630
753,1093904
754,1093167
755,1092419
756,1091659
757,1090888
758,1090106
759,1089312
760,1088507
761,1087690
762,1086861
763,1086021
764,1085169
765,1084305
766,1083429
767,1082541
768,1081641
769,1080729
770,1079805
771,1078869
772,1077921
773,1076961
774,1075989
775,1075004
776,1074007
777,1072998
778,1071976
779,1070942
780,1069895
