,ATTITUDE
781,1068836
782,1067764
783,1066679
784,1065582
785,1064472
786,1063349
787,1062213
788,1061064
789,1059902
790,1058727
791,1057539
792,1056338
793,1055124
794,1053897
795,1052657
796,1051404
797,1050137
798,1048857
799,1047564
800,1046257
801,1044937
802,1043603
803,1042256
804,1040895
805,1039520
806,1038132
807,1036730
808,1035314
809,1033885
810,1032442
811,1030985
812,1029514
813,1028029
814,1026530
815,1025017
816,1023490
817,1021949
818,1020393
819,1018823
820,1017239
821,1015641
822,1014028
823,1012401
824,1010760
825,1009104
826,1007434
827,1005749
828,1004050
829,1002336
830,1000607
831,998864
832,997106
833,995333
834,993545
835,991743
836,989926
837,988094
838,986247
839,984385
840,982508
841,980616
842,978709
843,976786
844,974848
845,972895
846,970927
847,968944
848,966945
849,964931
850,962901
851,960856
852,958796
853,956720
854,954629
855,952522
856,950399
857,948261
858,946107
859,943937
860,941752
861,939551
862,937334
863,935101
864,932852
865,930587
866,928306
867,926009
868,923696
869,921367
870,919022
871,916661
872,914284
873,911891
874,909481
875,907055
876,904613
877,902154
878,899679
879,897188
880,894680
881,892156
882,889615
883,887058
884,884484
885,881894
886,879287
887,876663
888,874023
889,871366
890,868692
891,866001
892,863293
893,860569
894,857828
895,855070
896,852295
897,849503
898,846694
899,843868
900,841025
901,838164
902,835286
903,832391
904,829479
905,826550
906,823603
907,820639
908,817658
909,814659
910,811643
911,808609
912,805558
913,802489
914,799403
915,796299
916,793178
917,790039
918,786882
919,783708
920,780516
921,777306
922,774078
923,770833
924,767570
925,764289
926,760990
927,757673
928,754338
929,750985
930,747614
931,744225
932,740818
933,737393
934,733950
935,730489
936,727009
937,723511
938,719995
939,716461
940,712908
941,709337
942,705748
943,702140
944,698514
945,694869
946,691206
947,687524
948,683824
949,680105
950,676367
951,672611
952,668836
953,665042
954,661230
955,657399
956,653549
957,649680
958,645793
959,641887
960,637962
961,634018
962,630055
963,626073
964,622072
965,618052
966,614013
967,609955
968,605878
969,601781
970,597665
971,593530
972,589376
973,585203
974,581010
975,576798
976,572567
977,568316
978,564046
979,559756
980,555447
981,551118
982,546770
983,542402
984,538015
985,533608
986,529182
987,524736
988,520270
989,515785
990,511280
991,506755
992,502210
993,497646
994,493062
995,488458
996,483834
997,479190
998,474526
999,469842
1000,465138
1001,460414
1002,455670
1003,450906
1004,446122
1005,441318
1006,436494
1007,431650
1008,426785
1009,421900
1010,416995
1011,412070
1012,407124
1013,402158
1014,397172
1015,392165
1016,387138
1017,382090
1018,377022
1019,371933
1020,366824
1021,361694
1022,356544
1023,351373
1024,346182
1025,340970
1026,335737
1027,330484
1028,325210
1029,319915
1030,314599
1031,309263
1032,303906
1033,298528
1034,293129
1035,287709
1036,282268
1037,276806
1038,271323
1039,265819
1040,260294
1041,254748
1042,249181
1043,243593
1044,237984
1045,232354
1046,226703
1047,221031
1048,215337
1049,209622
1050,203886
1051,198129
1052,192350
1053,186550
1054,180729
1055,174886
1056,169022
1057,163136
1058,157229
1059,151300
1060,145350
1061,139378
1062,133385
1063,127370
1064,121334
1065,115276
1066,109196
1067,103095
1068,96972
1069,90827
1070,84661
1071,78473
1072,72263
1073,66031
1074,59777
1075,53501
1076,47204
1077,40885
1078,34544
1079,28181
1080,21796
1081,15389
1082,8960
1083,2509
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
